gene,ï..sample,logFC,cell_line,E2_status,hgnc_symbol
3760,Adrenal.3,-3.730102282,MCF7,E2,KCNJ3
3760,Bone.1,-3.739543096,MCF7,E2,KCNJ3
3767,Bone.4,4.317388527,MCF7,E2,KCNJ11
3772,Adrenal.3,3.210357682,MCF7,E2,KCNJ15
3776,Adrenal.1,-4.328559534,MCF7,E2,KCNK2
3776,Adrenal.2,-2.520226768,MCF7,E2,KCNK2
3778,Adrenal.2,3.486108301,MCF7,E2,KCNMA1
3820,Bone.4,4.815865608,MCF7,E2,KLRB1
3832,Brain.1,-3.205058291,ZR751,ED,KIF11
3839,Brain.1,-3.988635152,ZR751,ED,KPNA3
3839,Bone.3,-2.839873254,MCF7,E2,KPNA3
3852,Adrenal.3,-4.115744162,MCF7,E2,KRT5
3855,Brain.1,-3.235881814,ZR751,ED,KRT7
3856,Brain.3,-3.353194963,ZR751,ED,KRT8
3868,Brain.4,3.152831004,MCF7,E2,KRT16
3872,Bone.3,-3.909408057,MCF7,E2,KRT17
3875,Bone.2,-3.739215215,MCF7,E2,KRT18
3875,Bone.5,-3.582371172,MCF7,ED,KRT18
3887,Bone.6,2.695400445,ZR751,ED,KRT81
3899,Adrenal.1,4.089558094,MCF7,E2,AFF3
3908,Adrenal.3,3.168285634,MCF7,E2,LAMA2
3908,Adrenal.2,3.578872135,MCF7,E2,LAMA2
3914,Adrenal.3,-3.591500644,MCF7,E2,LAMB3
3915,Bone.3,-3.785322955,MCF7,E2,LAMC1
3918,Bone.6,-4.007843386,ZR751,ED,LAMC2
3921,Brain.2,-3.039552189,ZR751,ED,RPSA
3921,Bone.2,-3.067748067,MCF7,E2,RPSA
3927,Brain.1,-3.882466656,ZR751,ED,LASP1
3934,Kidney.1,3.146244597,MCF7,E2,LCN2
3936,Brain.4,-2.663691425,MCF7,E2,LCP1
3964,Brain.2,-4.301641069,ZR751,ED,LGALS8
3964,Bone.4,-4.703470084,MCF7,E2,LGALS8
3992,Kidney.1,-3.81385628,MCF7,E2,FADS1
4012,Bone.4,-3.526638883,MCF7,E2,LNPEP
4016,Adrenal.3,-3.057931697,MCF7,E2,LOXL1
4043,Bone.3,-2.768615183,MCF7,E2,LRPAP1
4052,Brain.1,-3.465962084,ZR751,ED,LTBP1
4052,Kidney.1,-2.658517397,MCF7,E2,LTBP1
4069,Brain.1,3.275417296,ZR751,ED,LYZ
4076,Brain.2,-2.871476962,ZR751,ED,CAPRIN1
4081,Bone.3,2.997597391,MCF7,E2,MAB21L1
4088,Bone.3,-2.706362941,MCF7,E2,SMAD3
4117,Bone.1,-3.879809266,MCF7,E2,MAK
4128,Brain.4,3.556011139,MCF7,E2,MAOA
4135,Adrenal.2,2.873573839,MCF7,E2,MAP6
4135,Bone.2,5.473101331,MCF7,E2,MAP6
4151,Brain.2,4.013641181,ZR751,ED,MB
4151,Brain.1,2.818247322,ZR751,ED,MB
4155,Brain.2,3.551332898,ZR751,ED,MBP
4171,Bone.4,-3.688737398,MCF7,E2,MCM2
4179,Brain.2,-3.134965811,ZR751,ED,CD46
4192,Bone.4,-3.413505067,MCF7,E2,MDK
4204,Bone.4,-4.09263621,MCF7,E2,MECP2
4211,Brain.4,-2.661829832,MCF7,E2,MEIS1
4221,Kidney.1,-3.70253684,MCF7,E2,MEN1
4238,Brain.1,-3.896257601,ZR751,ED,MFAP3
4256,Kidney.1,-2.929534341,MCF7,E2,MGP
4257,Bone.6,-2.854179265,ZR751,ED,MGST1
4285,Brain.3,-4.022789542,ZR751,ED,MIPEP
4286,Brain.4,3.934094002,MCF7,E2,MITF
4286,Adrenal.1,5.65652415,MCF7,E2,MITF
4291,Bone.4,3.013912317,MCF7,E2,MLF1
4298,Brain.1,-4.639972616,ZR751,ED,MLLT1
4331,Brain.2,2.850403531,ZR751,ED,MNAT1
4353,Brain.3,4.154451553,ZR751,ED,MPO
4363,Bone.3,-3.928115738,MCF7,E2,ABCC1
4430,Adrenal.3,-2.775838388,MCF7,E2,MYO1B
4477,Bone.3,-3.207302535,MCF7,E2,MSMB
4488,Bone.3,2.699904111,MCF7,E2,MSX2
4508,Bone.5,-5.949293531,MCF7,ED,MT-ATP6
4509,Brain.2,-3.088957721,ZR751,ED,MT-ATP8
4509,Bone.5,-7.003336938,MCF7,ED,MT-ATP8
4512,Bone.5,-4.186433704,MCF7,ED,MT-CO1
4513,Bone.5,-4.808413147,MCF7,ED,MT-CO2
4514,Bone.5,-3.866054497,MCF7,ED,MT-CO3
4519,Bone.5,-4.834417901,MCF7,ED,MT-CYB
4519,Brain.2,-4.318810125,ZR751,ED,MT-CYB
4522,Bone.2,-3.297439949,MCF7,E2,MTHFD1
4528,Bone.2,3.268818494,MCF7,E2,MTIF2
4535,Bone.5,-5.838236159,MCF7,ED,MT-ND1
4536,Bone.5,-4.329267421,MCF7,ED,MT-ND2
4536,Brain.2,-2.713659656,ZR751,ED,MT-ND2
4537,Bone.2,-3.311882312,MCF7,E2,MT-ND3
4538,Bone.5,-5.716906779,MCF7,ED,MT-ND4
4538,Brain.2,-2.582288595,ZR751,ED,MT-ND4
4540,Bone.5,-4.780945048,MCF7,ED,MT-ND5
4540,Brain.2,-2.407523466,ZR751,ED,MT-ND5
4582,Brain.1,2.508995957,ZR751,ED,MUC1
4582,Adrenal.1,3.128007466,MCF7,E2,MUC1
4584,Adrenal.3,4.795253094,MCF7,E2,MUC3A
4586,Bone.3,3.43670565,MCF7,E2,MUC5AC
4586,Adrenal.3,-3.15534699,MCF7,E2,MUC5AC
4588,Brain.3,3.452396385,ZR751,ED,MUC6
4599,Brain.4,-2.829523338,MCF7,E2,MX1
4600,Brain.4,-3.452015223,MCF7,E2,MX2
4605,Bone.4,-3.533484851,MCF7,E2,MYBL2
4610,Kidney.1,4.207980914,MCF7,E2,MYCL
4621,Bone.3,3.200469096,MCF7,E2,MYH3
4641,Bone.4,-3.626066199,MCF7,E2,MYO1C
4645,Brain.2,-3.767837964,ZR751,ED,MYO5B
4649,Brain.3,-4.162031766,ZR751,ED,MYO9A
4650,Brain.3,-3.332956842,ZR751,ED,MYO9B
4671,Bone.2,3.158319862,MCF7,E2,NAIP
4674,Bone.3,2.891030768,MCF7,E2,NAP1L2
4676,Bone.3,-5.113719546,MCF7,E2,NAP1L4
4680,Brain.4,2.465891468,MCF7,E2,CEACAM6
4680,Bone.3,3.645544856,MCF7,E2,CEACAM6
4680,Adrenal.3,-3.982627188,MCF7,E2,CEACAM6
4680,Brain.3,-4.081713627,ZR751,ED,CEACAM6
4703,Bone.6,-3.222045608,ZR751,ED,NEB
4703,Bone.3,2.996842621,MCF7,E2,NEB
4706,Bone.3,-3.116541271,MCF7,E2,NDUFAB1
4736,Brain.2,2.469263987,ZR751,ED,RPL10A
4744,Bone.6,-3.423226662,ZR751,ED,NEFH
4750,Bone.1,-3.626945598,MCF7,E2,NEK1
4751,Kidney.1,2.632795891,MCF7,E2,NEK2
4753,Bone.4,3.032013803,MCF7,E2,NELL2
4771,Brain.3,-3.553537701,ZR751,ED,NF2
4774,Adrenal.1,-3.105322625,MCF7,E2,NFIA
4779,Brain.3,-4.975589122,ZR751,ED,NFE2L1
4780,Brain.1,-4.015233101,ZR751,ED,NFE2L2
4781,Brain.2,-3.725354181,ZR751,ED,NFIB
4784,Brain.3,-3.461290056,ZR751,ED,NFIX
4793,Brain.2,3.006078987,ZR751,ED,NFKBIB
4801,Brain.3,-3.60516762,ZR751,ED,NFYB
4832,Brain.1,2.6878654,ZR751,ED,NME3
4841,Bone.2,-3.2284478,MCF7,E2,NONO
4841,Brain.2,-2.750999626,ZR751,ED,NONO
4848,Bone.4,-3.434552434,MCF7,E2,CNOT2
4849,Bone.6,2.783310986,ZR751,ED,CNOT3
4851,Bone.3,-3.47347952,MCF7,E2,NOTCH1
4853,Brain.2,-4.536990481,ZR751,ED,NOTCH2
4860,Brain.1,-3.600860529,ZR751,ED,PNP
4861,Kidney.1,3.317078389,MCF7,E2,NPAS1
4880,Kidney.1,4.014026031,MCF7,E2,NPPC
4886,Adrenal.3,-2.509289439,MCF7,E2,NPY1R
4886,Bone.4,-3.633316524,MCF7,E2,NPY1R
4926,Bone.4,-2.978088304,MCF7,E2,NUMA1
4938,Brain.4,-3.026148889,MCF7,E2,OAS1
4938,Adrenal.3,-2.620754994,MCF7,E2,OAS1
4939,Adrenal.3,-2.707185108,MCF7,E2,OAS2
4939,Bone.4,-3.115871621,MCF7,E2,OAS2
4940,Adrenal.3,-3.1800239,MCF7,E2,OAS3
4942,Brain.3,-3.620303048,ZR751,ED,OAT
4952,Brain.1,-4.722995805,ZR751,ED,OCRL
4957,Brain.3,-4.391077591,ZR751,ED,ODF2
5021,Bone.4,3.321629489,MCF7,E2,OXTR
5034,Brain.2,-2.572452754,ZR751,ED,P4HB
5037,Bone.4,-3.856455,MCF7,E2,PEBP1
5048,Brain.3,-4.091376922,ZR751,ED,PAFAH1B1
5049,Bone.3,-3.212582469,MCF7,E2,PAFAH1B2
5055,Brain.1,3.410479797,ZR751,ED,SERPINB2
5062,Bone.2,-3.977319188,MCF7,E2,PAK2
5066,Brain.1,2.556777698,ZR751,ED,PAM
5074,Brain.3,-4.162031766,ZR751,ED,PAWR
5074,Brain.1,-4.577976919,ZR751,ED,PAWR
5080,Adrenal.3,3.3890987,MCF7,E2,PAX6
5093,Bone.4,-3.187520364,MCF7,E2,PCBP1
5097,Bone.3,2.666034219,MCF7,E2,PCDH1
5098,Brain.2,3.954973605,ZR751,ED,PCDHGC3
5104,Brain.4,4.953375675,MCF7,E2,SERPINA5
5104,Adrenal.1,4.946321717,MCF7,E2,SERPINA5
5104,Adrenal.2,3.552313333,MCF7,E2,SERPINA5
5104,Adrenal.3,4.594494501,MCF7,E2,SERPINA5
5108,Bone.2,-4.104912525,MCF7,E2,PCM1
5118,Brain.2,5.655595192,ZR751,ED,PCOLCE
5146,Bone.4,5.673931771,MCF7,E2,PDE6C
5153,Brain.3,3.667880875,ZR751,ED,PDE1B
5160,Bone.3,-3.565698295,MCF7,E2,PDHA1
5165,Brain.3,-4.42595087,ZR751,ED,PDK3
5166,Bone.2,3.177591685,MCF7,E2,PDK4
5166,Adrenal.3,2.755690602,MCF7,E2,PDK4
5167,Brain.1,-4.293954752,ZR751,ED,ENPP1
5175,Adrenal.3,5.061798409,MCF7,E2,PECAM1
5175,Adrenal.2,4.154132083,MCF7,E2,PECAM1
5184,Bone.3,3.326739057,MCF7,E2,PEPD
5187,Bone.4,2.859875617,MCF7,E2,PER1
5190,Bone.2,3.690937884,MCF7,E2,PEX6
5217,Brain.1,-4.041349546,ZR751,ED,PFN2
5226,Brain.2,-3.454038774,ZR751,ED,PGD
5230,Bone.5,5.708572789,MCF7,ED,PGK1
5230,Bone.4,-3.437582223,MCF7,E2,PGK1
5241,Bone.2,-3.111523,MCF7,E2,PGR
5243,Brain.3,2.955631831,ZR751,ED,ABCB1
5251,Bone.6,-3.520992381,ZR751,ED,PHEX
5255,Brain.2,2.759720993,ZR751,ED,PHKA1
5257,Brain.3,-2.910813597,ZR751,ED,PHKB
5281,Bone.4,2.980331479,MCF7,E2,PIGF
5288,Bone.3,5.129252555,MCF7,E2,PIK3C2G
5290,Brain.1,-3.999777284,ZR751,ED,PIK3CA
5292,Bone.3,-3.553444664,MCF7,E2,PIM1
5297,Brain.2,-4.222974212,ZR751,ED,PI4KA
5304,Brain.3,3.944292562,ZR751,ED,PIP
5304,Bone.6,-3.822522711,ZR751,ED,PIP
5310,Brain.2,-5.56352837,ZR751,ED,PKD1
5314,Brain.4,4.125222703,MCF7,E2,PKHD1
5316,Bone.4,3.421601707,MCF7,E2,PKNOX1
5317,Bone.4,4.401223088,MCF7,E2,PKP1
5327,Adrenal.2,3.650452652,MCF7,E2,PLAT
5327,Brain.4,5.252518988,MCF7,E2,PLAT
5327,Adrenal.1,3.071963548,MCF7,E2,PLAT
5329,Bone.4,5.137556664,MCF7,E2,PLAUR
5333,Bone.2,4.5153134,MCF7,E2,PLCD1
5337,Bone.1,-3.207283229,MCF7,E2,PLD1
5358,Bone.1,3.807669398,MCF7,E2,PLS3
5359,Brain.4,-2.578106246,MCF7,E2,PLSCR1
5373,Bone.4,-3.87682551,MCF7,E2,PMM2
5376,Adrenal.3,-3.208695853,MCF7,E2,PMP22
5376,Kidney.1,-4.20152509,MCF7,E2,PMP22
5420,Brain.3,2.806914718,ZR751,ED,PODXL
5424,Brain.3,3.424499307,ZR751,ED,POLD1
5427,Bone.3,-3.708707754,MCF7,E2,POLE2
5433,Bone.3,-3.503794766,MCF7,E2,POLR2D
5433,Kidney.1,-4.049773754,MCF7,E2,POLR2D
5447,Bone.3,-3.062773938,MCF7,E2,POR
5452,Bone.1,3.339751896,MCF7,E2,POU2F2
5464,Bone.3,-3.128203634,MCF7,E2,PPA1
5465,Bone.4,3.273148103,MCF7,E2,PPARA
5476,Brain.1,-3.74024974,ZR751,ED,CTSA
5499,Brain.2,-3.31917998,ZR751,ED,PPP1CA
5499,Brain.3,-2.826486426,ZR751,ED,PPP1CA
5504,Brain.1,-3.424970494,ZR751,ED,PPP1R2
5509,Brain.3,2.767202096,ZR751,ED,PPP1R3D
5518,Brain.1,-3.621599945,ZR751,ED,PPP2R1A
5523,Brain.3,-3.399443914,ZR751,ED,PPP2R3A
5524,Bone.4,-3.573892168,MCF7,E2,PTPA
5546,Bone.3,-4.575892365,MCF7,E2,PRCC
5547,Brain.2,3.149881475,ZR751,ED,PRCP
5569,Bone.2,2.939915129,MCF7,E2,PKIA
5570,Adrenal.1,2.414051751,MCF7,E2,PKIB
5570,Brain.3,4.718829446,ZR751,ED,PKIB
5573,Bone.2,-3.006775305,MCF7,E2,PRKAR1A
5573,Brain.2,-2.584710238,ZR751,ED,PRKAR1A
5580,Brain.1,-3.713428513,ZR751,ED,PRKCD
5585,Brain.1,-4.153353721,ZR751,ED,PKN1
5594,Brain.3,-3.549767427,ZR751,ED,MAPK1
5596,Bone.4,5.105505783,MCF7,E2,MAPK4
5606,Brain.1,3.221121251,ZR751,ED,MAP2K3
5618,Bone.2,-3.528997564,MCF7,E2,PRLR
5629,Bone.6,-3.371309485,ZR751,ED,PROX1
5653,Bone.4,4.092125214,MCF7,E2,KLK6
5655,Adrenal.2,3.588168169,MCF7,E2,KLK10
5655,Adrenal.1,5.291302287,MCF7,E2,KLK10
5655,Brain.4,3.630209231,MCF7,E2,KLK10
5664,Kidney.1,3.489674095,MCF7,E2,PSEN2
5685,Bone.4,-2.875829097,MCF7,E2,PSMA4
5686,Brain.1,-3.491445952,ZR751,ED,PSMA5
5697,Brain.3,4.203852463,ZR751,ED,PYY
5698,Bone.4,3.678663101,MCF7,E2,PSMB9
5704,Bone.3,-3.1898038,MCF7,E2,PSMC4
5709,Brain.1,-4.0585015,ZR751,ED,PSMD3
5715,Bone.3,-3.697339993,MCF7,E2,PSMD9
5725,Bone.2,-3.629722165,MCF7,E2,PTBP1
5757,Bone.5,-5.811298775,MCF7,ED,PTMA
5778,Adrenal.2,2.789962793,MCF7,E2,PTPN7
5778,Bone.3,2.997597391,MCF7,E2,PTPN7
5778,Kidney.1,2.876328759,MCF7,E2,PTPN7
5783,Brain.2,2.613030354,ZR751,ED,PTPN13
5787,Bone.6,-3.525717509,ZR751,ED,PTPRB
5787,Adrenal.3,3.480985846,MCF7,E2,PTPRB
5787,Adrenal.2,3.165561659,MCF7,E2,PTPRB
5792,Brain.2,-2.823077071,ZR751,ED,PTPRF
5796,Bone.3,-3.300355515,MCF7,E2,PTPRK
5799,Adrenal.3,3.201590594,MCF7,E2,PTPRN2
5799,Adrenal.2,3.500296247,MCF7,E2,PTPRN2
5802,Brain.1,-2.643954392,ZR751,ED,PTPRS
5802,Bone.4,-4.377722486,MCF7,E2,PTPRS
5802,Brain.2,-3.071141575,ZR751,ED,PTPRS
5813,Bone.3,-4.907210624,MCF7,E2,PURA
5829,Brain.3,-4.212840924,ZR751,ED,PXN
5858,Bone.6,-3.259048609,ZR751,ED,PZP
5872,Brain.2,-3.083045156,ZR751,ED,RAB13
5875,Brain.3,2.959724676,ZR751,ED,RABGGTA
5884,Brain.2,2.776264857,ZR751,ED,RAD17
5889,Bone.3,-2.854297508,MCF7,E2,RAD51C
5890,Bone.2,2.852588139,MCF7,E2,RAD51B
5894,Brain.3,-3.726694819,ZR751,ED,RAF1
5899,Brain.1,-3.553253166,ZR751,ED,RALB
5900,Bone.3,-3.032153233,MCF7,E2,RALGDS
5905,Brain.3,-3.432996558,ZR751,ED,RANGAP1
5911,Bone.1,-4.523848921,MCF7,E2,RAP2A
5921,Bone.3,-3.239214335,MCF7,E2,RASA1
5923,Adrenal.2,3.556234345,MCF7,E2,RASGRF1
5980,Brain.1,-4.428672811,ZR751,ED,REV3L
6018,Kidney.1,-3.136741205,MCF7,E2,RLF
6023,Bone.5,-3.974804868,MCF7,ED,RMRP
6029,Bone.5,2.920885688,MCF7,ED,RN7SL1
6049,Brain.3,-4.248995656,ZR751,ED,RNF6
6050,Bone.3,-3.488977129,MCF7,E2,RNH1
6059,Brain.3,-3.625313109,ZR751,ED,ABCE1
6060,Bone.5,5.681805578,MCF7,ED,RNU1-4
6060,Bone.1,2.448669042,MCF7,E2,RNU1-4
6083,Brain.3,2.670352839,ZR751,ED,SNORD21
6085,Bone.2,-4.248542614,MCF7,E2,RNY3
6091,Bone.4,-3.966783702,MCF7,E2,ROBO1
6091,Brain.4,-2.864948482,MCF7,E2,ROBO1
6097,Bone.3,3.023778294,MCF7,E2,RORC
6097,Adrenal.2,2.788584821,MCF7,E2,RORC
6097,Brain.4,3.187148507,MCF7,E2,RORC
6097,Adrenal.3,2.809706767,MCF7,E2,RORC
6097,Kidney.1,3.493333573,MCF7,E2,RORC
6097,Brain.3,3.202109519,ZR751,ED,RORC
6097,Brain.1,2.812938409,ZR751,ED,RORC
6122,Brain.2,-2.811518697,ZR751,ED,RPL3
6124,Brain.2,-2.838846359,ZR751,ED,RPL4
6124,Bone.5,-3.540177466,MCF7,ED,RPL4
6125,Brain.2,-4.457332208,ZR751,ED,RPL5
6129,Brain.2,-2.76408746,ZR751,ED,RPL7
6130,Bone.5,-5.318544115,MCF7,ED,RPL7A
6136,Brain.2,-4.766893607,ZR751,ED,RPL12
6137,Bone.5,-3.384612733,MCF7,ED,RPL13
6137,Bone.2,-2.637815559,MCF7,E2,RPL13
6138,Bone.2,-3.197570628,MCF7,E2,RPL15
6138,Bone.5,-3.874158109,MCF7,ED,RPL15
6139,Bone.4,-2.89474219,MCF7,E2,RPL17
6142,Brain.2,-3.972286743,ZR751,ED,RPL18A
6142,Bone.4,-3.155683598,MCF7,E2,RPL18A
6146,Brain.2,-2.647292786,ZR751,ED,RPL22
6147,Bone.5,-3.346888949,MCF7,ED,RPL23A
6147,Brain.2,-2.545551875,ZR751,ED,RPL23A
6160,Bone.4,-3.082721625,MCF7,E2,RPL31
6167,Bone.4,-3.652475061,MCF7,E2,RPL37
6171,Bone.2,-3.111224099,MCF7,E2,RPL41
6181,Bone.2,-4.017255302,MCF7,E2,RPLP2
6189,Brain.2,-2.799617628,ZR751,ED,RPS3A
6193,Bone.2,-3.305171538,MCF7,E2,RPS5
6201,Bone.2,-3.31133524,MCF7,E2,RPS7
6203,Bone.6,3.125518756,ZR751,ED,RPS9
6222,Bone.6,2.636719881,ZR751,ED,RPS18
6223,Bone.4,-3.423808529,MCF7,E2,RPS19
6224,Bone.2,-2.87080688,MCF7,E2,RPS20
6227,Bone.2,-4.502684926,MCF7,E2,RPS21
6249,Brain.2,-2.79204991,ZR751,ED,CLIP1
6262,Bone.6,-3.795508135,ZR751,ED,RYR2
6263,Adrenal.3,3.140843184,MCF7,E2,RYR3
6281,Adrenal.3,-3.087154867,MCF7,E2,S100A10
6284,Brain.3,-3.344626198,ZR751,ED,S100A13
6286,Adrenal.2,3.757498375,MCF7,E2,S100P
6286,Bone.3,3.179209798,MCF7,E2,S100P
6309,Brain.1,-3.066173252,ZR751,ED,SC5D
6311,Brain.3,-3.256750484,ZR751,ED,ATXN2
6319,Bone.2,-4.917640118,MCF7,E2,SCD
6319,Bone.4,-3.658186076,MCF7,E2,SCD
6322,Bone.4,2.791836558,MCF7,E2,SCML1
6340,Brain.4,3.018026953,MCF7,E2,SCNN1G
6389,Brain.3,-3.782478442,ZR751,ED,SDHA
6390,Brain.3,2.595292851,ZR751,ED,SDHB
6392,Bone.2,3.192430336,MCF7,E2,SDHD
6402,Adrenal.1,-3.108498576,MCF7,E2,SELL
6421,Brain.2,-3.487369121,ZR751,ED,SFPQ
6428,Bone.4,-3.482784623,MCF7,E2,SRSF3
6431,Brain.2,-4.247914222,ZR751,ED,SRSF6
6434,Brain.1,-2.709723862,ZR751,ED,TRA2B
6445,Brain.4,4.680801051,MCF7,E2,SGCG
6445,Adrenal.3,-3.284424929,MCF7,E2,SGCG
6446,Brain.1,3.659958674,ZR751,ED,SGK1
6450,Bone.3,3.284314284,MCF7,E2,SH3BGR
6451,Bone.3,-3.474036707,MCF7,E2,SH3BGRL
6453,Brain.3,-3.860183518,ZR751,ED,ITSN1
6464,Brain.3,-3.521648926,ZR751,ED,SHC1
6472,Brain.1,2.582690888,ZR751,ED,SHMT2
6473,Brain.3,4.638229662,ZR751,ED,SHOX
6482,Bone.4,3.050950413,MCF7,E2,ST3GAL1
6495,Brain.3,3.254046182,ZR751,ED,SIX1
6498,Bone.2,-3.432615114,MCF7,E2,SKIL
6506,Bone.6,-2.689656444,ZR751,ED,SLC1A2
6506,Brain.1,2.776008911,ZR751,ED,SLC1A2
6515,Bone.6,-3.520992381,ZR751,ED,SLC2A3
6517,Kidney.1,3.508959863,MCF7,E2,SLC2A4
6520,Bone.3,-5.258703082,MCF7,E2,SLC3A2
6536,Brain.3,3.239433237,ZR751,ED,SLC6A9
6542,Bone.3,-2.554792407,MCF7,E2,SLC7A2
6546,Bone.4,2.581907272,MCF7,E2,SLC8A1
6558,Bone.3,2.864733664,MCF7,E2,SLC12A2
6560,Brain.3,2.500906419,ZR751,ED,SLC12A4
6563,Bone.3,5.013911028,MCF7,E2,SLC14A1
6578,Bone.2,6.05743933,MCF7,E2,SLCO2A1
6611,Bone.4,-3.173032181,MCF7,E2,SMS
6633,Bone.3,-3.116541271,MCF7,E2,SNRPD2
6637,Bone.4,3.039623599,MCF7,E2,SNRPG
6654,Bone.3,-3.588123884,MCF7,E2,SOS1
6657,Bone.1,-3.126481114,MCF7,E2,SOX2
6659,Brain.3,-3.40995533,ZR751,ED,SOX4
6662,Adrenal.3,-2.810100518,MCF7,E2,SOX9
6666,Bone.3,-3.225226586,MCF7,E2,SOX12
6672,Bone.3,-2.912318968,MCF7,E2,SP100
6695,Adrenal.1,-2.915252038,MCF7,E2,SPOCK1
6741,Brain.1,-3.96608936,ZR751,ED,SSB
6744,Bone.4,-3.443496372,MCF7,E2,ITPRID2
6745,Brain.2,3.072641783,ZR751,ED,SSR1
6772,Bone.3,-3.521847577,MCF7,E2,STAT1
6772,Bone.2,-3.061646305,MCF7,E2,STAT1
6777,Bone.3,-4.058865403,MCF7,E2,STAT5B
6778,Bone.3,-3.776339909,MCF7,E2,STAT6
6781,Brain.4,3.236409638,MCF7,E2,STC1
6810,Brain.3,3.128481324,ZR751,ED,STX4
6814,Bone.3,-2.898352018,MCF7,E2,STXBP3
6832,Bone.3,2.561579299,MCF7,E2,SUPV3L1
6836,Bone.4,-2.986260093,MCF7,E2,SURF4
6867,Bone.4,-3.74290421,MCF7,E2,TACC1
6872,Bone.4,-3.360240135,MCF7,E2,TAF1
6876,Brain.1,3.886920763,ZR751,ED,TAGLN
6883,Brain.2,4.197724245,ZR751,ED,TAF12
6898,Adrenal.3,5.126716827,MCF7,E2,TAT
6911,Brain.1,3.701734249,ZR751,ED,TBX6
6940,Bone.4,3.285470757,MCF7,E2,ZNF354A
6949,Bone.4,-3.56723572,MCF7,E2,TCOF1
6990,Brain.3,4.022483653,ZR751,ED,DYNLT3
7005,Bone.3,-4.093966692,MCF7,E2,TEAD3
7011,Brain.1,-3.728420475,ZR751,ED,TEP1
7025,Bone.3,3.157887655,MCF7,E2,NR2F1
7029,Bone.3,-4.294641609,MCF7,E2,TFDP2
7035,Adrenal.3,-4.627875213,MCF7,E2,TFPI
7042,Adrenal.1,-3.223238657,MCF7,E2,TGFB2
7042,Brain.4,-2.898189367,MCF7,E2,TGFB2
7045,Adrenal.3,-2.771378503,MCF7,E2,TGFBI
7052,Adrenal.3,-2.85625319,MCF7,E2,TGM2
7052,Brain.4,-3.790543481,MCF7,E2,TGM2
7052,Adrenal.1,-3.100075831,MCF7,E2,TGM2
7053,Brain.3,3.882646533,ZR751,ED,TGM3
7057,Adrenal.1,-2.438315514,MCF7,E2,THBS1
7057,Bone.2,-3.031224038,MCF7,E2,THBS1
7072,Brain.1,-4.119928523,ZR751,ED,TIA1
7078,Brain.4,3.712486749,MCF7,E2,TIMP3
7078,Adrenal.3,-3.116384849,MCF7,E2,TIMP3
7086,Brain.3,-4.076821025,ZR751,ED,TKT
7088,Brain.3,-3.885460617,ZR751,ED,TLE1
7091,Bone.6,-3.783117295,ZR751,ED,TLE4
7092,Bone.6,-2.71015015,ZR751,ED,TLL1
7094,Brain.3,-3.978449987,ZR751,ED,TLN1
7095,Brain.2,-3.176377488,ZR751,ED,SEC62
7103,Brain.1,-3.857584165,ZR751,ED,TSPAN8
7110,Brain.3,-3.254497577,ZR751,ED,TMF1
7127,Kidney.1,3.271451076,MCF7,E2,TNFAIP2
7135,Bone.6,-3.56812211,ZR751,ED,TNNI1
7138,Bone.1,-4.478619785,MCF7,E2,TNNT1
7138,Kidney.1,-3.627939401,MCF7,E2,TNNT1
7145,Kidney.1,3.749793471,MCF7,E2,TNS1
7150,Brain.2,-3.125102711,ZR751,ED,TOP1
7150,Bone.2,-4.371605584,MCF7,E2,TOP1
7164,Brain.3,4.286789428,ZR751,ED,TPD52L1
7164,Bone.3,-3.477472419,MCF7,E2,TPD52L1
7167,Bone.2,-3.780055653,MCF7,E2,TPI1
7171,Brain.3,-2.891244417,ZR751,ED,TPM4
7175,Bone.5,-3.358882777,MCF7,ED,TPR
7187,Bone.3,-3.016798509,MCF7,E2,TRAF3
7253,Brain.3,3.032676312,ZR751,ED,TSHR
7267,Bone.4,-2.706843875,MCF7,E2,TTC3
7273,Brain.3,-3.372613942,ZR751,ED,TTN
7273,Bone.3,-4.031967366,MCF7,E2,TTN
7311,Bone.3,-3.782784675,MCF7,E2,UBA52
7314,Bone.2,-3.36303882,MCF7,E2,UBB
7316,Bone.5,-3.854788949,MCF7,ED,UBC
7328,Bone.4,-2.981228662,MCF7,E2,UBE2H
7337,Bone.4,-3.180952435,MCF7,E2,UBE3A
7351,Brain.2,3.222470488,ZR751,ED,UCP2
7352,Bone.2,5.860668363,MCF7,E2,UCP3
7357,Bone.3,-3.769337902,MCF7,E2,UGCG
7358,Bone.4,-3.139142842,MCF7,E2,UGDH
7366,Brain.4,3.633081274,MCF7,E2,UGT2B15
7366,Adrenal.3,2.632374125,MCF7,E2,UGT2B15
7366,Adrenal.1,3.066842664,MCF7,E2,UGT2B15
7367,Adrenal.1,2.71372792,MCF7,E2,UGT2B17
7367,Adrenal.2,3.356556034,MCF7,E2,UGT2B17
7399,Bone.6,-2.769262808,ZR751,ED,USH2A
7401,Brain.3,3.667880875,ZR751,ED,CLRN1
7407,Bone.6,2.795833452,ZR751,ED,VARS1
7408,Brain.1,-4.045656689,ZR751,ED,VASP
7414,Brain.1,-2.774388772,ZR751,ED,VCL
7422,Bone.3,-5.417220098,MCF7,E2,VEGFA
7428,Bone.3,-3.348047993,MCF7,E2,VHL
7430,Brain.2,-4.235585697,ZR751,ED,EZR
7433,Bone.3,3.249411022,MCF7,E2,VIPR1
